,nameWithOwner,url,stargazers,releases,age
82,apache/shardingsphere,https://github.com/apache/shardingsphere,14475,44,5
83,lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,14433,3,4
84,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,14049,12,8
85,hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14001,0,7
86,lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,13583,0,6
87,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,13512,0,5
88,alibaba/ARouter,https://github.com/alibaba/ARouter,13397,16,4
89,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,13138,35,4
90,orhanobut/logger,https://github.com/orhanobut/logger,12967,16,6
91,Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,12903,0,6
92,material-components/material-components-android,https://github.com/material-components/material-components-android,12768,41,4
93,Curzibn/Luban,https://github.com/Curzibn/Luban,12646,6,5
94,greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,12421,8,9
95,Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,12380,55,6
96,prestodb/presto,https://github.com/prestodb/presto,12377,0,9
97,facebook/stetho,https://github.com/facebook/stetho,12349,13,6
98,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,12335,0,10
99,android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,12226,49,3
100,Curzibn/Luban,https://github.com/Curzibn/Luban,12646,6,5
101,medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,12594,139,9
102,iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,12459,14,9
103,greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,12421,8,9
104,Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,12380,55,6
105,prestodb/presto,https://github.com/prestodb/presto,12377,0,9
106,facebook/stetho,https://github.com/facebook/stetho,12349,13,6
107,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,12335,0,10
108,android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,12226,49,3
109,eclipse/deeplearning4j,https://github.com/eclipse/deeplearning4j,12169,0,7
110,mockito/mockito,https://github.com/mockito/mockito,12136,179,8
111,daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,12120,18,7
112,justauth/JustAuth,https://github.com/justauth/JustAuth,12106,43,2
113,zhihu/Matisse,https://github.com/zhihu/Matisse,12076,15,4
114,arduino/Arduino,https://github.com/arduino/Arduino,12033,33,10
115,daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,11916,9,7
116,apache/hadoop,https://github.com/apache/hadoop,11914,0,7
117,JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,11813,14,3
118,YunaiV/SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs,11784,0,2
119,pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,11655,47,6
120,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,11642,21,5
121,Tencent/APIJSON,https://github.com/Tencent/APIJSON,11547,82,4
122,youth5201314/banner,https://github.com/youth5201314/banner,11482,0,5
123,Anuken/Mindustry,https://github.com/Anuken/Mindustry,11414,128,4
124,Tencent/VasSonic,https://github.com/Tencent/VasSonic,11386,10,4
125,Netflix/zuul,https://github.com/Netflix/zuul,11261,5,8
126,realm/realm-java,https://github.com/realm/realm-java,11187,0,9
127,jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,11179,0,9
128,androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,11158,0,9
129,apache/druid,https://github.com/apache/druid,11116,46,8
130,GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,11106,129,3
131,Yalantis/uCrop,https://github.com/Yalantis/uCrop,10870,13,5
132,openjdk/jdk,https://github.com/openjdk/jdk,10842,0,2
133,sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,10805,2,6
134,alibaba/vlayout,https://github.com/alibaba/vlayout,10803,34,4
135,williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,10784,0,4
136,LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector,10772,97,4
137,permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,10753,40,6
138,zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,10715,0,2
139,Netflix/eureka,https://github.com/Netflix/eureka,10695,141,9
140,android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,10648,3,10
141,pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,10607,8,7
142,antlr/antlr4,https://github.com/antlr/antlr4,10585,22,11
143,projectlombok/lombok,https://github.com/projectlombok/lombok,10518,3,12
144,hyb1996/Auto.js,https://github.com/hyb1996/Auto.js,10433,0,4
145,google/guice,https://github.com/google/guice,10406,14,7
146,lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,10384,78,5
147,H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,10382,4,5
148,ben-manes/caffeine,https://github.com/ben-manes/caffeine,10376,55,6
149,jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,10370,14,5
150,heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,10348,0,2
151,java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,10342,18,6
152,seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,10319,0,4
153,lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,10288,65,5
154,tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,10227,11,5
155,JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,10227,0,10
156,codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,10173,59,7
157,JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms,10104,25,5
158,redis/jedis,https://github.com/redis/jedis,10026,49,11
159,frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,10022,0,3
160,code4craft/webmagic,https://github.com/code4craft/webmagic,10008,20,8
161,mission-peace/interview,https://github.com/mission-peace/interview,9926,0,7
162,keycloak/keycloak,https://github.com/keycloak/keycloak,9911,11,8
163,gyf-dev/ImmersionBar,https://github.com/gyf-dev/ImmersionBar,9836,0,4
164,apache/zookeeper,https://github.com/apache/zookeeper,9809,0,12
165,YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation,9703,30,5
166,aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,9695,0,12
167,liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9675,8,6
168,daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,9668,0,5
169,ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,9622,0,6
170,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,9586,42,3
171,alibaba/DataX,https://github.com/alibaba/DataX,9555,0,3
172,janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,9551,3,4
173,HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9546,1,5
174,apache/pulsar,https://github.com/apache/pulsar,9534,50,5
175,macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,9498,0,2
176,pockethub/PocketHub,https://github.com/pockethub/PocketHub,9471,1,10
177,wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,9444,0,6
178,google/auto,https://github.com/google/auto,9379,51,8
179,react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,9359,142,6
180,umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,9323,8,8
181,neo4j/neo4j,https://github.com/neo4j/neo4j,9279,72,8
182,googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,9234,12,5
183,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,9182,44,4
184,perwendel/spark,https://github.com/perwendel/spark,9152,0,10
185,navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,9119,3,6
186,square/javapoet,https://github.com/square/javapoet,9115,0,8
187,paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,9078,0,3
188,clojure/clojure,https://github.com/clojure/clojure,9075,0,11
189,bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,9059,5,8
190,MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,9041,7,6
191,grpc/grpc-java,https://github.com/grpc/grpc-java,9025,96,6
192,jhy/jsoup,https://github.com/jhy/jsoup,8994,4,11
193,careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,8983,0,6
194,nathanmarz/storm,https://github.com/nathanmarz/storm,8941,0,9
195,koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,8918,55,8
196,apereo/cas,https://github.com/apereo/cas,8907,191,9
197,pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,8905,4,6
198,chefyuan/algorithm-base,https://github.com/chefyuan/algorithm-base,8877,0,0
199,termux/termux-app,https://github.com/termux/termux-app,8874,88,5
200,hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,8844,12,5
201,lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,8821,4,4
202,chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,8811,0,9
203,zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,8779,226,6
204,laobie/StatusBarUtil,https://github.com/laobie/StatusBarUtil,8686,0,5
205,DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,8633,0,5
206,chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,8625,4,7
207,lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,8616,0,6
208,didi/VirtualAPK,https://github.com/didi/VirtualAPK,8516,4,4
