Unnamed: 0,nameWithOwner,url,stargazers,releases,age,loc,cbo,dit,lcom
58,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,17790,123,10,0.0,0.0,0.0,0.0
59,DrKLO/Telegram,https://github.com/DrKLO/Telegram,17751,68,7,0.0,0.0,0.0,0.0
60,apache/skywalking,https://github.com/apache/skywalking,17641,46,5,0.0,0.0,0.0,0.0
61,redisson/redisson,https://github.com/redisson/redisson,17305,99,7,0.0,0.0,0.0,0.0
62,bazelbuild/bazel,https://github.com/bazelbuild/bazel,17274,115,7,0.0,0.0,0.0,0.0
63,alibaba/Sentinel,https://github.com/alibaba/Sentinel,17217,18,3,0.0,0.0,0.0,0.0
64,apache/flink,https://github.com/apache/flink,17032,0,7,0.0,0.0,0.0,0.0
65,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,16844,0,9,0.0,0.0,0.0,0.0
66,facebook/fresco,https://github.com/facebook/fresco,16650,44,6,0.0,0.0,0.0,0.0
67,CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,16617,26,4,0.0,0.0,0.0,0.0
68,linlinjava/litemall,https://github.com/linlinjava/litemall,16295,8,3,0.0,0.0,0.0,0.0
69,elunez/eladmin,https://github.com/elunez/eladmin,16273,6,2,0.0,0.0,0.0,0.0
70,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,16165,34,8,0.0,0.0,0.0,0.0
71,shuzheng/zheng,https://github.com/shuzheng/zheng,16075,0,4,0.0,0.0,0.0,0.0
72,Tencent/tinker,https://github.com/Tencent/tinker,15991,42,5,0.0,0.0,0.0,0.0
73,forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,15900,0,4,0.0,0.0,0.0,0.0
74,dianping/cat,https://github.com/dianping/cat,15864,0,8,0.0,0.0,0.0,0.0
75,oracle/graal,https://github.com/oracle/graal,15838,32,5,0.0,0.0,0.0,0.0
76,brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,15679,0,7,0.0,0.0,0.0,0.0
77,apache/rocketmq,https://github.com/apache/rocketmq,15249,3,4,0.0,0.0,0.0,0.0
78,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,15029,0,8,0.0,0.0,0.0,0.0
79,winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,14989,0,7,0.0,0.0,0.0,0.0
80,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,14942,0,7,0.0,0.0,0.0,0.0
81,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,14864,107,6,0.0,0.0,0.0,0.0
82,openzipkin/zipkin,https://github.com/openzipkin/zipkin,14674,62,9,0.0,0.0,0.0,0.0
83,JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,14485,0,4,0.0,0.0,0.0,0.0
84,apache/shardingsphere,https://github.com/apache/shardingsphere,14475,44,5,0.0,0.0,0.0,0.0
85,lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,14433,3,4,0.0,0.0,0.0,0.0
86,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,14050,12,8,0.0,0.0,0.0,0.0
87,hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14001,0,7,0.0,0.0,0.0,0.0
88,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,13512,0,5,0.0,0.0,0.0,0.0
89,alibaba/ARouter,https://github.com/alibaba/ARouter,13397,16,4,0.0,0.0,0.0,0.0
